Head,Message,Type
How likely am I to catch COVID-19?,"For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19.",Genuine
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones.",Genuine
Who is at risk of developing severe illness,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others.",Genuine
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection.",Genuine
Are there any medicines or therapies that can prevent or cure COVID-19,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. We does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. We will continue to provide updated information as soon as clinical findings are available.",Genuine
Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different.",Genuine
Should I wear mask to protect myself,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so We urge people to use masks wisely.",Genuine
How long is the incubation period for COVID-19?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",Genuine
Can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed.",Genuine
Can I catch COVID-19 from my pet?,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly.",Genuine
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other corona viruses. Studies suggest that corona viruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment). If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others.",Genuine
Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.",Genuine
Telephone Conversation between PM and Prime Minister of Sweden,"Prime Minister Shri Narendra Modi had a telephone conversation today with H.E. Stefan.Lofven, Prime Minister of Sweden. The two leaders discussed the ongoing COVID-19 pandemic, and the steps being taken in their respective countries for controlling its health and economic impacts.",Genuine
Telephone Conversation between PM and Sultan of Oman,"Prime Minister Shri Narendra Modi spoke on telephone today with His Majesty Haitham bin Tarik, Sultan of Oman.  The two leaders discussed the health and economic challenges posed by the ongoing COVID-19 pandemic, and the steps being taken by their respective countries to respond to them.",Genuine
Telephone Conversation between PM and  King of the Kingdom of Bahrain,"Prime Minister Shri Narendra Modi had a telephone conversation with His Majesty Hamad Bin Isa Al Khalifa, King of the Kingdom of Bahrain.  The two leaders discussed the ongoing COVID-19 health crisis and its consequences, including on logistics chains and financial markets.",Genuine
Ministry of Shipping plays a pro-active role towards ensuring smooth shipping operations in COVID-19 situation and lockdown in the country,"Total traffic handled at Major Ports from April to March 2020 shows 0.82% growth in tonnage. Over 46,000 crew/passenger thermal- scanned at ports. Penalties, demurrage, charges, fee, rentals levied by the Major ports waived off on any port user. Hospitals across the Major Port Trusts are prepared for Covid-19.",Genuine
Advisory regarding containing and management of COVID-19 in National Parks/Sanctuaries/Tiger Reserves,"In view of the spread of COVID 19 in the country and a recent news report on a Tiger being infected with the COVID 19 in New York, Ministry of Environment, Forest and Climate Change has issued an advisory regarding containing and management of COVID-19 in National Parks/Sanctuaries/Tiger Reserves as it is felt that there are possibilities of spread of the virus amongst animals in National Parks/Sanctuaries/Tiger Reserves and also transmission of the virus from humans to animals and vice-versa.",Genuine
Indian Railways in a race against time to make In-house PPE overall,"Indian Railways has taken up the in-house  production of PPE type overall on a mission mode. An overall produced by Jagadhari workshop was recently cleared by a DRDO lab, authorised for the purpose. Approved design and material will now be used for making this protective overall by other workshops under different zones. ",Genuine
"Amidst the COVID-19 lockdown, FCI moves 662 rakes carrying about 18.54 Lakh MT food grains across the country in 14 days since 24th March",FCI has sent enough stocks to states throughout the country to implement PM Garib Kalyan Ann Yojana (PMGKAY) wherein 5 kg foodgrain per person per month for next three months has to be distributed free to all National Food Security Act (NFSA) beneficiaries. ,Genuine
"HRD Ministry launches ""Samadhan"", a challenge to fight against covid19 and future challenges",The Innovation Cell of the Ministry of Human Resources Development and All India Council for Technical Education in collaboration with Forge and InnovatioCuris launched a mega online challenge - SAMADHAN - to test the ability of students to innovate.,Genuine
CM's COVID-19 RELIEF FUND,Manipur CM tweeted that state will transfer Rs.2000 from the CM's COVID-19 RELIEF FUND to Bank accounts of each person who are stranded outside the State during the lockdown.,Genuine
Door-to-door survey,"The Goa government has announced a community door-to-door survey to be completed in three days. Around 7,000 enumerators will be involved in surveying people across the state for flu-like symptoms and travel histories.",Genuine
Kerala:  Health Minister,Kerala:  Health Minister says restrictions will continue in the state even after April 14. Mumbai Police identifies Keralites who had stayed with 1st Covid patient from Dharavi; all of them attended Delhi TJ meet. One Keralite died of Covid in US today. ,Genuine
Andhra Pradesh,"Andhra Pradesh:  Total Covid deaths 4, with 1 in Kurnool today. 900 ventilators available.  State decides to start random sampling in hot spots.  State directs pvt hospitals to treat Covid cases under Aarogyasri Health care pgm; treatment fee fixed : Rs 16,000-Rs 2.16 lakh.",Genuine
Dr. Li Wenliang and his TEA cure,"Dr. Li Wenliang, China's hero doctor who was punished for telling the truth about Corona Virus and later died due to the same disease, had documented casefiles for research purposes and had in the casefiles proposed a cure that would significantly decrease the impact of the COVID - 19 Virus on the human body. The chemical Methylxanthine, Theobromine and Theophylline stimulate compounds that can ward off these virus in a human with atleast an average immune system. Whats more shocking is that these complex words that were so difficult for people in China to understand is actually called Tea in India, YES, our regular Tea has all these chemicals already in it. The main Methylxanthine in tea is the stimulant caffeine. Other Methylxanthines found in tea are two chemically similar compounds, Theobromine and Theophylline. The tea plant creates these chemicals as a way to ward off insects and other animals. Who would have known that all the solution to these virus would be a simple cup of TEA. and that is the reason so many patients in China are being cured. The hospital staff in china has started serving tea to the patients 3 times a day, And the effect is finally in Wuhan ""The centre of this Pandemic"" has been contained and community transmission has almost stopped.",Fake
Sub ki Lee,The Chinese Govt  has just released the name of the citizen of Wuhan who was the first carrier of the virus. His name is Sub ki Lee.,Fake
Israel health minister,"Israel health minister, who claims coronavirus is ‘divine punishment’ for homosexuality, tests positive for COVID-19",Genuine
Breathing water vapour," Chinese expert asserts and stresses that breathing water vapor kills the Corona virus 100% if it is present in the lungs, throat or nose, as the virus does not tolerate the temperature of warm water vapor .. Please publish this information on your page and on the widest scale",Fake
Global ban, UN calls for global ban on wildlife markets to prevent future pandemics,Genuine
Isolation beds by Indian Railways,"Indian Railways has prepared 40,000 isolation beds in 2,500 coaches. They are making 375 isolation beds daily and this is going on across 133 locations across the country: Lav Aggarwal, Joint Secretary, Health Ministry.",Genuine
Military forces have been called,"Eslliye Police Ne Military Forces Ko Bulaya Gya Hai.Ab Ye Military Forces en ilako ki Nigrani Sakhti Se Karegi, Lathi Charge Ke Sath Sath rabber bullets fire hoga.Esliye Ghar se Nikalna Or Bekar me idhar udhar bhatakna Band kare...Turant",Fake
Whatsapp alert,WhatsApp info regarding √.1. √ = Message Sent 2. √√ = Message Delivered  3. 2 Blue √√ = Message Read 4. 3 Blue √√√ = Government has taken a Note 5. 2 Blue 1 Red √√√ = Government can take action against you 6.  एक नीली और दो लाल 1 Blue 2 Red √√√ = Government is screening your data 7. 3 Red √√√ =  Government has initiated action & you'll receive summons from court,Fake
, Drinking warm water with lemon protects agains the novel coronavirus.,Fake
," There is science behind Indian Prime minister Modi’s 5 PM clapping initiative. Clapping generates vibration which can kill Coronavirus. Also, 22 March 2020 is Amavasya.",Fake
," A 9 minute viral video in a woman claims India has entered stage-3 of COVID-19. She claims that her husband is employed with a major news channel and the information was passed to him by some Dr.Gyani who heads the Indian Covid team and asks people to stock up on food, medicines and baby food for one month. She also cautions people about the Army being deployed to enforce a strict lockdown in the upcoming days.",Fake
, Turmeric and lemon can cure coronavirus.,Fake
, Bus driver in China vomits blood after becoming unconscious behind the wheel.,Fake
, Viral post along with a pictures claims civilian thrashing a policeman during lockdown.,Genuine
, Anti-Malaria Drug Chloroquine Is A Cure For coronavirus.,Fake
, Google has donated 59 billion (5900 crores) rupees to fight coronavirus to India.,Fake
, 2019 novel coronavirus can be cured by one bowl of freshly boiled garlic.,Fake
, Photo of Meat (mutton) affected by coronavirus.,Fake
, Italians are throwing their money on the streets as it is useless to them now in the time of Coronavirus scare.,Fake
, News graphic saying Indian Prime Minister has asked for internet to be shut down in the country.,Fake
, Image Show Dead People On The Streets Of China.,Fake
, Precautionary measures suggested by the UNICEF.,Fake
, A positive COVID-19 patient recently met Narendra Modi.,Fake
, Chicken Infected From coronavirus Found In Bangalore.,Fake
, Hubei district is filled with bats on their roofs which are the main source of coronavirus thus the virus spread there.,Fake
, Video of police killing COVID-19 affected people in China.,Fake
, Bitter gourd juice can cure coronavirus in just two hours.,Fake
, Chinese intelligence officer terms the Novel coronavirus as a biological weapon invented by China.,Fake
," Video of bats found under the tiles of many roofs in Hubei, China. They were the source of coronavirus.",Fake
," To defeat the coronavirus, China had built a thousand bed hospital in 10 days, while India has prepared a modern hospital of 6370 beds overnight, at a very low cost.",Fake
, Girl infected with coronavirus found dead in her apartment in Delhi.,Fake
, Garlic Water Can Cure Novel coronavirus.,Fake
, Recent photo of PM Modi visiting a Church and offering prayers to save the country from the coronavirus outbreak.,Fake
, Video of Canada PM Justin Trudeau’s wife pleading people to take COVID-19 seriously.,Fake
, Videos of Pigs being buried in China due to the coronavirus outbreak.,Fake
, Indian Army has set-up a 1000 bed quarantine facility in Rajasthan’s Barmer.,Fake
, An image poster stating Indian religious leader Mata Amritanandamayi has hidden foreigners in her hermitage and not allowed them to be tested.,Fake
, Muslims are licking their plates to spread coronavirus and infect more people by the virus.,Fake
, Police in India lashed sticks at filmmaker Sudhir Mishra for not following the rules of lockdown.,Fake
, Image of coffins from Italy showing carnage due to recent COVID-19 outbreak.,Fake
, Videos showing police detaining COVID-19 patients in India,Fake
, Pope Francis kissed the feet of “black people” and asked forgiveness during novel coronavirus scare.,Fake
, Can cannabis cure coronavirus?,Fake
, People in Italy are threw away their money after they lost their family members to coronavirus.,Fake
, Filmmaker Sudhir Mishra getting beaten up by police during the lockdown for stepping out of home.,Fake
," No deaths have been reported in Israel due to COVID-19 because they have found a cure for the disease. A solution of hot water, baking soda and lemon is the cure for COVID-19.",Fake
, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
, Indian PM Modi is providing free masks to people under ‘Swachh Bharat Mission’ to keep them protected from Coronavirus outbreak.,Fake
, Dettol sanitizer can kill coronavirus. The company knew about the coronavirus back in 2019.,Fake
," UK, USA have asked Indian Prime Minister Narendra Modi to lead a task force to tackle Coronavirus.",Fake
," A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.",Fake
, Government of an Indian state Madhya Pradesh ordered shoot-at-sight to enforce lockdown.,Fake
, Coronavirus was created in a lab in Wuhan.,Fake
, Italy has surrendered to the Coronavirus pandemic as all the measures to control COVID-19 have been exhausted.,Fake
, Cov case in Uttar Pradesh district.,Fake
, A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India.,Fake
, Video of police roughing up civilians claimed to be Police in Spain enforcing a lockdown.,Fake
, An image of Indian Home Minister Amit Shah visiting COVID-19 patients.,Fake
, India will go under lockdown from 15 April to 15 June 2020.,Fake
, Sanitizer manufacturer Dettol knew about 2019 Novel coronavirus before it was actually reported.,Fake
," A video of former Iraqi dictator Saddam Hussein has been shared repeatedly on Facebook, Twitter and Instagram alongside a claim it shows him stating the US threatened to spread the novel coronavirus, COVID-19, in Iraq during a meeting in the 1990s.",Fake
, 2019 novel coronavirus can be cured by one bowl of freshly boiled garlic.,Fake
," A worker of Prince hotel in Mehdipatnam (Hyderbad, India) has tested positive for coronavirus.",Fake
, Chinese President Xi Jinping visited mosque amid coronavirus outbreak and requested the people of the Muslim community to pray ‘in present crisis,Fake
, Coronavirus fears in Germany result in large crowds outside the supermarket.,Genuine
, Coronavirus is also spread through newspapers.,Fake
, Cow urine is helpful to fight coronavirus.,Fake
," In the backdrop of the lockdown, videos of wild animals taking over the roads are surfacing on the internet. Among them, a set of pictures of a herd of Deers is doing the rounds on social media claiming that these pictures are from Lake Club, Chandigarh.",Fake
, Coronavirus can live only up to 12 hours on any surface,Fake
, Indian industrialist tweets that a specific mask can kill viruses.,Fake
, Prime Minister Narendra Modi announced a 14 hour curfew as the virus lives for 12 hours on surfaces.,Fake
, pH level of coronavirus varies from 5.5 to 8.5 and to beat the virus we should consume more alkaline food.,Fake
," A post has been shared repeatedly in multiple posts on Facebook, Twitter and Whatsapp which claims a regional government in India has recommended that the juice of bitter gourd, a vegetable often used in traditional medicine, is an effective treatment for the novel coronavirus, COVID-19.",Fake
, Video of the current situation in Italy due to coronavirus.,Fake
, Video of kids from Italy yelling at stars assuming them to be their dead mother.,Fake
, Streaming apps Netflix and Amazon Prime give free subscriptions during COVID-19 outbreak in India,Fake
, A woman infected with coronavirus killed by Chinese police.,Fake
, Passengers at Delhi airport got agitated Wednesday morning as their passports were withheld by airport authorities.,Genuine
, Prime Minister of China visited a mosque and realised that the only way to protect oneself from coronavirus is to bow before Allah.,Fake
, Whales spotted at Bombay High – the offshore rig for the Oil and Natural Gas Corporation,Fake
," Coronavirus patients were being arrested in Punjab, India.",Fake
, Actor Tom Hanks died due to coronavirus.,Fake
, “THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPES TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts..Very important”,Fake
, Hydroxychloroquine (HCQ) can prevent COVID-19.,Fake
, Clapping together at 5 pm will create a vibration which will destroy coronavirus.,Fake
, COVID-19 case in east Indian state.,Fake
, Chicken causes coronavirus.,Fake
, Images of the medical facility shared with the claim that the Indian Army set up a 1000-bed hospital in Rajasthan amidst Coronavirus Pandemic.,Fake
, Drinking water every 15 mins will protect people from coronavirus.,Fake
, UV rays and sunlight can kill coronavirus.,Fake
, Buring candles will increase the temperature which in turn will kill coronavirus.,Fake
, The current Coronavirus outbreak is due to the movement towards 5G.,Fake
, A group of Muslim boys licking utensils to spread coronavirus.,Fake
, “Arsenic album-30 homeopathic medicine can prevent coronavirus. Information given by Ministry of AYUSH.”,Fake
, The indian government distributing free face masks.,Fake
, Steam Therapy can kill Coronavirus.,Fake
," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
, Lions released on Russian streets by Vladimir Putin to force people inside.,Fake
," China has sought to kill 20,000 coronavirus patients to control the spread of the virus.",Fake
, Image of coronavirus victims in China.,Fake
, Novel coronavirus can be eliminated by drinking lots of water and gargling with warm water mixed with salt or vinegar.,Fake
, WHO approves anti-Malarial drug Chloroquine for COVID-19.,Fake
, Photo of an Italian doctor waving goodbye to co-doctors as he is about to die due to coronavirus.,Fake
, Video of Chinese Prime Minister Li Keqiang visiting a Mosque and offering prayers seeking protection to the country from coronavirus.,Fake
, This video shows the cause of cov.,Fake
, There is no space in the hospitals in Italy because of which people are crowding outside.,Fake
, Video of Police in China taking into control suspected COVID-19 patients in the country.,Fake
, A WhatsApp forward is doing the rounds which claims that Prime Minister Narendra Modi called for a 14-hour long ‘Janta Curfew’ on 22 March from 7 am to 9 pm because the lifespan of the coronavirus at one place is only 12 hours and if we all follow the Janta Curfew religiously then the chain will be broken,Fake
, Images of BJP men smearing cow dung on one another after their party leader Suman Haripriya has said that cow dung may help cure Coronavirus.,Fake
, Image of herd of deer sitting on a street interpreted as different locations in Sri Lanka and India.,Fake
, Government of India has announced a ‘National Lockdown’ in the country from 20 March 2020.,Fake
, A drug made from cow urine or pigeon membrane can cure coronavirus.,Fake
, The Chinese Prime minister visited a mosque to gain protection for coronavirus.,Fake
, 5000 million Rupees fund allocated by Telangana CM KCR for coronavirus prevention is entirely funded by Central Government.,Fake
, A Whatsapp forward claiming all calls will be recorded by the Indian government..,Fake
, Russia released 500 lions to ensure people would stay inside houses.,Fake
, Vaccines to cure COVID-19 are ready.,Fake
, Hold your breath for 10 seconds to check if you have coronavirus or not.,Fake
, Coronavirus-infected chicken found in Bengaluru.,Fake
, Russia announces the closure of airspace and suspension of all its incoming and outgoing flights to China.,Fake
," As coronavirus outbreak surges, PM Narendra Modi has decided to facilitate fellow countrymen with free masks under the ‘Swacch Bharat’ scheme.",Fake
, A website claiming that China has confirmed that patient zero had sex with a bat.,Fake
, Tea can cure coronavirus.,Fake
," WhatsApp group admins were detained for sharing coronavirus messages in Dadar, Mumbai.",Fake
, Turmeric And Lemon Help Fight Against coronavirus.,Fake
, Worst affected countries by coronavirus are along the same latitude.,Fake
, Corpses are strewn in China due to coronavirus.,Fake
, Justin Trudeau’s wife has released a video from hospital bed.,Fake
," Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",Fake
, Italian PM broke down over coronavirus deaths in his country.,Genuine
, Not a single Muslim died of Coronavirus in China.,Fake
," Indian Daily Reports That Wife Of A Positive Patient Ran Away, did not comply with the authorities and tested positive.",Fake
, Italian Prime Minister Giuseppe Conte broke down amid Covid19 deaths in his country.,Fake
, Video of Police strictly implementing lockdown in Spain.,Fake
, Scientists have found that drinking bitter gourd juice can cure Coronavirus.,Fake
, Pope Francis ran away at a public meeting due to coronavirus fear.,Fake
, China is planning to kill coronavirus patients.,Fake
, Most affected countries by COVID-19 are along the same 40-degree North latitude.,Fake
," A claim that all fruit and vegetable markets in the Indian city of Chennai and across the state of Tamil Nadu have been ordered to close in an effort to curb the spread of the novel coronavirus has been shared in multiple posts on Facebook, WhatsApp and Twitter.",Fake
," A WhatsApp forward is doing the rounds in groups and is attributed to CNN. claiming Dr. ‘Li Wenliang’ who was the whistleblower of the Chinese government’s propaganda about COVID-19, has documented a research report. According to this report, chemicals like ‘Methylxanthine, Theobromine and Theophylline’ stimulate compounds that can ward off this virus in a human body with at least an averagely performing immune system.",Fake
, Photos of coronavirus patients being treated on the road in Italy.,Fake
, Coronavirus patients in China are being caught by officials on a highway.,Fake
, Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
," Image of COVID19 infected Indonesian doctor Hadio Ali watching his daughters from a distance as he bids them final goodbye, the image is said to be posted by his wife.",Fake
, Narendra Modi is giving free masks in India.,Fake
, Video shows bat infestation under a tiled roof claims to be the source of coronavirus in China’s Hubei.,Fake
, A Chinese SWAT Team takes down a coronavirus suspect,Fake
, China Seeks Court’s Approval To Kill 20000 coronavirus Patients.,Fake
, Inhaling the steam of sea salt and orange peelings can prevent coronavirus infection.,Fake
, Dettol sanitizer kills coronavirus and the company knew about the existence of the virus before the outbreak of the virus in China.,Fake
, India Announced Holidays for 4 States.,Fake
, Donald Trump attending the recital of Quran verses to fight coronavirus.,Fake
, Chinese Intelligence Officer Reveals coronavirus is a Bioweapon.,Fake
, People were screaming in Wuhan because they feared the coronavirus.,Fake
," Last Photo of Indonesian doctor,Hadio Ali standing away from his family before he passed away due to COVID-19",Fake
," Video showing Massive Explosion in Wuhan, China to control the spread of coronavirus.",Fake
, Israel has manufactured the coronavirus (COVID-19) vaccine,Fake
, Dolphins and swans return to Italy waterways after COVID-19 lockdown.,Genuine
," Photo of an Indonesian doctor, Hideo Ali, looking at his children and pregnant wife for the last time.",Fake
," Press Release on movement restriction for COVID-19 outbreak by National Security Council, PMO (India).",Fake
, Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,Fake
, An audio clip is circulating on Whatsapp claiming that Nagpur (Second Capital of Indian state Maharashtra) has tested 59 positive coronavirus cases including 3 doctors.,Fake
, Video of Al-Aqsa mosque after Israel allows photography inside it.,Fake
, Consuming Large Doses Of Vitamin C Can Stop The Spread Of coronavirus.,Fake
," A video has been viewed thousands of times on Facebook, Twitter, Instagram and YouTube in March 2020 alongside a claim that it shows police in Spain detaining people during a lockdown due to the coronavirus pandemic.",Fake
," A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book. The viral forward reads, “It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books. Book name",Fake
, Lemon and bicarbonate can cure coronavirus.,Fake
," An image of a doctor goes viral with the claim that Dr. Usman Riyaz died while treating coronavirus patients in Delhi, India.",Fake
, Cow dung and cow urine can cure coronavirus.,Fake
, Indian actor Shah Rukh Khan donated money to Pakistan to fight Coronavirus and did not help India at all.,Fake
, Photo of Kanika Kapoor meeting Prince Charles during her recent visit to United Kingdom. Prince Charles was tested positive for coronavirus just after the meet.,Fake
, India asked for restriction of movement.,Fake
, Coronavirus fear in Germany results in large crowds outside a supermarket. People pushing each other to get into store first to get necessary supplies.,Fake
, Coronil drops can help cure coronavirus.,Fake
, Coronavirus dies at a temperature above 26 – 27 degrees Celcius as per UNICEF.,Fake
, Posting anything on coronavirus will be a punishable offence because Disaster Management Act has been implemented.,Fake
, Chinese Prime Minister offering namaz amid coronavirus scare.,Fake
, After COVID-19 outbreak in europe Muslims and non-Muslims have come out in the streets shouting praises for Allah and reading Kalma.,Fake
," Two audio clips stating that the Mumbai police commissioner is going to enforce strict actions during the 21 day lockdown in India and that there will be a spike in cases after March 27, 2020.",Fake
, A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in an Intermediate Zoology book.,Fake
, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
," A WhatsApp forward is doing the rounds claiming that the COVID-19 vaccine is ready and as announced by US President Donald Trump, it will be launched next Sunday. It also claims that the vaccine discovered by the US scientists can cure a COVID-19 infected patient within 3 hours. With the WhatsApp forward, the alleged image of the vaccine is also being shared.",Fake
, People sneezing purposefully to spread coronavirus at Hazrat Nizamuddin mosque in Delhi.,Fake
, Chinese Police crackdown on suspected coronavirus patients.,Fake
," Picture of Sao Paulo graveyard, being prepared secretly for Covid 19 victims by Brazil government.",Fake
, WHO confirms COVID-19 is airborne and remains in air for 8 hours.,Fake
, Reserve Bank of India (RBI) extended the year closing till 30 June 2020.,Fake
, A video of fire is shared with the claim that a fire erupted at Solapur Airport in Maharashtra state due to firecrackers on 5 April at 9 pm.,Fake
, There are 59 positive Coronavirus cases in Nagpur along with 3 doctors one of whom is on ventilator.,Fake
, Xi Jinping visits mosque for coronavirus.,Fake
, Saddam Hussein predicted coronavirus outbreak 40 years ago.,Fake
, PM Modi announced internet suspension due to viral fake news related to COVID-19.,Fake
, Donald Trump announced a vaccine by Roche Diagnostics.,Fake
, WHO advisory asks people not to consume bakery items as they get contaminated by coronavirus easily.,Fake
, Post On coronavirus Outbreak Attributed To Health Ministry Advisory.,Fake
, An image of a baby born with deformities claims that the baby was suffering from Coronavirus.,Fake
, Italian President breaks down and surrenders in front of COVID-19 epidemic.,Fake
, A video shows a truck dropping bodies covered with plastic into a ditch and claiming that this is the situation in Italy right now.,Fake
, People rioting on the streets of London due to economic crisis in the wake of coronavirus outbreak.,Genuine
, Coronavirus will be cured after a 14 hours curfew.,Fake
, A herd of Deer reclaimed the Ooty-Coimbatore road.,Fake
, Videos of Pigs being buried in China due to the coronavirus outbreak.,Fake
, Coronavirus found in broiler chicken.,Fake
, American scientists have developed a cure for Coronavirus.,Fake
," A claim that India’s Ministry of Home Affairs has made it a “punishable offence” for citizens to publish posts on social media about the novel coronavirus has been shared repeatedly on Facebook, Twitter and WhatsApp.",Fake
, Police Publicly Kill A coronavirus-Infected Woman In China.,Fake
, WHO Has Issued Advisory Against Buying Of Holi Colors From coronavirus-Hit China,Fake
, A Facebook user uploaded a video showing a man inside a police van spitting on a cop. The post claimed that this video is a proof that Tablighi community is spreading coronavirus in India.,Fake
, Iranian girl Anahita Hashemzadeh has contracted Coronavirus.,Fake
, The viral post claims that Aajtak news channel shows lockdown is withdrawn at few places while India Today news channel shows it is extended till May 4.,Fake
," Pakistani doctor, Usman Riaz speaks about coronavirus before his death.",Fake
, Video of a man who committed suicide in US due to COVID-19,Fake
, Cristiano Ronaldo’s hotels to be turned into quarantine centres in Portugal.,Fake
, A video of Pigs being buried in China with is related to the coronavirus.,Fake
," Details of three Coronavirus positive cases reported in Kothapet (Hyderabad, India).",Fake
, Cocaine kills coronavirus.,Fake
," Indian Army has constructed an advanced hospital with a capacity of 1,000 beds in Barmer, Rajasthan, to cope up with COVID-19.",Fake
, An Indian politician claimed that the strain of coronavirus in India is less virulent mutation.,Fake
, Australian researchers have found that bananas can help prevent infection of COVID-19.,Fake
," After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",Fake
, The Asterix comic books and the Simpsons predicted the coronavirus outbreak.,Genuine
, Italian President said that Italy has surrendered to the Coronavirus.,Fake
, A video claiming to be of Canadian Prime Minister Justin Trudeau’s wife Sophie Grégoire Trudeau who is infected with Coronavirus.,Fake
, A video is being shared on various social media platforms and in WhatsApp groups in which a person allegedly infected with COVID-19 can be seen lying unconscious on the ground and shaking violently.,Fake
," Video Of An Indonesian Traditional Market Trending Viral As Wuhan, China.",Fake
, CDC recommends people to shave their facial hair to prevent coronavirus.,Fake
, An audio clip suggests that the WHO has advised a lockdown.,Fake
, Vladimir Putin let lions loose in the streets of Russia to keep them indoors during COVID-19,Fake
, Cuba sent 200.000 doctors across the world to help nations fighting against COVID-19 Pandemic.,Fake
, Netflix and Amazon are offering free subscription amid the coronavirus outbreak.,Fake
, China is seeking court’s approval to kill all who were tested positive with coronavirus.,Fake
," In India from 24th March 2020 during lockdown all grocery, milk, chemist, vegetable shops will be open from 9.00 am to 11.30 am in the morning and 4.30 pm to 7.00 pm in the evening. Anybody found moving around after this or opening any kind of outlet will be strictly detained by the police. It also claims that no home deliveries will be available.",Fake
, People in Italy have thrown all of their money on the roads outside saying that this money is useless to save them from death.,Fake
," In the video, the woman who is asking to take coronavirus seriously is the wife of the Prime Minister of Canada.",Fake
